Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-01-02,62.421551630772676,62.421551630772676,61.645206497471236,61.7561149597168,72500,0.0,0.0,0.0
2020-01-03,61.035225558707246,61.38642510068971,60.99825607251828,61.2477912902832,139100,0.0,0.0,0.0
2020-01-06,61.06294381819236,61.340211406801245,60.82264571147851,61.13688278198242,246700,0.0,0.0,0.0
2020-01-07,61.0075008663339,61.192341248068296,60.78568394680232,61.10916519165039,122300,0.0,0.0,0.0
2020-01-08,60.83189756784021,61.303249707834084,60.757958594663016,61.10916519165039,21200,0.0,0.0,0.0
2020-01-09,60.99825529707121,61.210828077153316,60.896590974146086,61.062950134277344,120100,0.0,0.0,0.0
2020-01-10,60.99825933086886,61.31248940344762,60.7764494530951,60.8965950012207,88600,0.0,0.0,0.0
2020-01-13,60.8503755611364,61.52505631601268,60.80416899375553,61.46036148071289,190000,0.0,0.0,0.0
2020-01-14,60.98901488395019,61.45112290681948,60.98901488395019,61.20158767700195,34300,0.0,0.0,0.0
2020-01-15,60.952044537667526,61.06295300002956,60.720990529486514,60.79492950439453,51600,0.0,0.0,0.0
2020-01-16,60.99826407642306,61.21083688710032,60.868874383388004,61.16462326049805,36100,0.0,0.0,0.0
2020-01-17,61.13688376691138,61.55277810531717,61.13688376691138,61.4049072265625,15300,0.0,0.0,0.0
2020-01-21,61.33097662996083,61.33097662996083,60.76720428466797,60.76720428466797,39900,0.0,0.0,0.0
2020-01-22,61.24778687383304,61.24778687383304,61.00749580774438,61.1461296081543,33000,0.0,0.0,0.0
2020-01-23,60.85038406709189,61.035231516078866,60.2496492487095,60.90584182739258,15800,0.0,0.0,0.0
2020-01-24,60.942802129413266,60.942802129413266,59.97237255935953,60.2866096496582,92400,0.0,0.0,0.0
2020-01-27,58.770891096680025,58.78013170470908,58.29029839027776,58.428932189941406,103800,0.0,0.0,0.0
2020-01-28,58.67847742473623,59.15907018446342,58.623023193596964,59.14982604980469,21100,0.0,0.0,0.0
2020-01-29,59.36239914948206,59.42709399001329,58.84483337402344,58.84483337402344,12200,0.0,0.0,0.0
2020-01-30,58.7246814923687,58.95573547665507,58.17014981471901,58.863311767578125,31500,0.0,0.0,0.0
2020-01-31,58.558333116878075,58.558333116878075,57.39381884745575,57.7172966003418,42500,0.0,0.0,0.0
2020-02-03,57.98531617351149,58.327275122750144,57.800472259521484,57.800472259521484,65800,0.0,0.0,0.0
2020-02-04,58.90028297566696,59.10361161598522,58.59529354079368,58.60453414916992,13400,0.0,0.0,0.0
2020-02-05,59.27921190503649,60.12025182449191,59.27921190503649,60.11100769042969,56900,0.0,0.0,0.0
2020-02-06,60.120256529286195,60.23115794187851,59.44557571411133,59.44557571411133,7400,0.0,0.0,0.0
2020-02-07,58.835585929695334,58.835585929695334,58.086969757598816,58.428932189941406,35200,0.0,0.0,0.0
2020-02-10,58.447420378485695,58.68771498305599,58.447420378485695,58.56756591796875,11600,0.0,0.0,0.0
2020-02-11,59.08512828040974,59.82450388986055,59.08512828040974,59.556480407714844,9900,0.0,0.0,0.0
2020-02-12,59.88920084914375,60.77644738120109,59.88920084914375,60.637813568115234,30600,0.0,0.0,0.0
2020-02-13,60.295846527193206,60.72098501750906,60.295846527193206,60.45296859741211,6600,0.0,0.0,0.0
2020-02-14,60.61008489722642,60.61008489722642,59.93540413779324,60.16645812988281,31000,0.0,0.0,0.0
2020-02-18,59.64890572639999,59.64890572639999,59.00195377528934,59.26997375488281,19900,0.0,0.0,0.0
2020-02-19,59.50102233886719,59.732076334196876,59.37163266557923,59.50102233886719,19500,0.0,0.0,0.0
2020-02-20,59.70434916159953,60.18494540590081,59.70434916159953,60.14797592163086,12700,0.0,0.0,0.0
2020-02-21,59.98161676802013,60.277365590971634,59.741318645869484,60.14797592163086,45100,0.0,0.0,0.0
2020-02-24,58.271816069423636,58.271816069423636,57.53244400024414,57.53244400024414,22800,0.0,0.0,0.0
2020-02-25,58.022280025309804,58.022280025309804,55.70249938964844,55.70249938964844,11100,0.0,0.0,0.0
2020-02-26,56.41414727848826,56.894740036829766,55.60083618547923,55.69325637817383,8200,0.0,0.0,0.0
2020-02-27,54.51025902768216,55.08327195810314,53.40119912722551,53.56755828857422,14500,0.0,0.0,0.0
2020-02-28,51.9871493092296,53.34574793937081,51.16459764425579,53.07772445678711,44800,0.0,0.0,0.0
2020-03-02,53.40120033065661,54.49177551269531,52.70803831795087,54.49177551269531,19300,0.0,0.0,0.0
2020-03-03,54.990847338897616,55.60082970617047,53.678462422427266,53.98345184326172,11400,0.0,0.0,0.0
2020-03-04,54.88918898954785,56.02597427368164,54.436325113047985,56.02597427368164,75800,0.0,0.0,0.0
2020-03-05,54.427082620000625,54.621167144354125,53.40120224041151,54.01118469238281,16900,0.0,0.0,0.0
2020-03-06,52.64334075136598,53.23483840746608,52.14426328192999,52.892879486083984,10100,0.0,0.0,0.0
2020-03-09,49.95387133669914,50.249620158321164,48.031503996155976,48.26255798339844,221300,0.0,0.0,0.0
2020-03-10,50.748699984089484,50.748699984089484,47.939082522021224,50.27735137939453,17500,0.0,0.0,0.0
2020-03-11,48.74315443647944,48.74315443647944,45.75793358993475,46.50654983520508,22600,0.0,0.0,0.0
2020-03-12,42.80968957836087,42.80968957836087,40.110980251817004,40.499149322509766,59500,0.0,0.0,0.0
2020-03-13,43.01301600259234,45.397491588780255,41.11837379686843,45.36976623535156,99300,0.0,0.0,0.0
2020-03-16,39.89840303423043,41.58972000679687,38.9557058166081,39.21448516845703,45500,0.0,0.0,0.0
2020-03-17,40.53612021044163,42.0610747165213,39.55644983896387,42.05183410644531,20200,0.0,0.0,0.0
2020-03-18,39.26993752037894,39.68583188008162,36.552740353444136,37.88361358642578,43700,0.0,0.0,0.0
2020-03-19,37.76346190622995,40.15718120721801,37.0887847282315,39.87991714477539,22000,0.0,0.0,0.0
2020-03-20,41.118369860143886,41.367905068320226,38.38268792255306,38.456626892089844,20100,0.0,0.0,0.0
2020-03-23,38.57677698622311,38.57677698622311,36.55274171108806,36.85773468017578,100500,0.0,0.0,0.0
2020-03-24,38.743133541821,40.52687072753906,38.743133541821,40.52687072753906,30200,0.0,0.0,0.0
2020-03-25,40.767166249056025,43.57678359219208,40.332783622972656,42.5509033203125,19200,0.0,0.0,0.0
2020-03-26,43.04998387966158,44.20525390401139,43.04998387966158,43.90026092529297,18700,0.0,0.0,0.0
2020-03-27,42.356816069849046,43.900254918919096,42.04258252519474,42.68029022216797,21900,0.0,0.0,0.0
2020-03-30,43.659964932737985,43.9649543762207,43.04998252016835,43.9649543762207,50900,0.0,0.0,0.0
2020-03-31,43.7616237134566,44.76901923747614,43.48435963426676,44.473270416259766,18700,0.0,0.0,0.0
2020-04-01,42.135006502369336,42.59711449053938,41.64517316310241,41.77456283569336,11300,0.0,0.0,0.0
2020-04-02,42.66180544985651,42.92982890478296,41.820769128842066,42.62483596801758,6600,0.0,0.0,0.0
2020-04-03,42.26439955353134,42.51393831016353,40.859590734122975,41.229278564453125,14500,0.0,0.0,0.0
2020-04-06,42.874379122184095,44.14979817288135,42.874379122184095,44.048133850097656,7700,0.0,0.0,0.0
2020-04-07,45.37900739555795,45.5361259599718,43.8540530031901,44.075862884521484,185300,0.0,0.0,0.0
2020-04-08,44.63963001167259,46.062923431396484,44.40857602245523,46.062923431396484,12800,0.0,0.0,0.0
2020-04-09,46.64517641557825,47.458483848471026,46.38639357274529,47.273643493652344,27800,0.0,0.0,0.0
2020-04-13,47.02410705381256,47.02410705381256,45.748688095496284,46.46033477783203,9400,0.0,0.0,0.0
2020-04-14,47.024106751649065,47.15349641567797,46.423364996538936,46.70987319946289,11500,0.0,0.0,0.0
2020-04-15,45.37900482655303,45.37900482655303,44.45478881358369,44.91689682006836,9300,0.0,0.0,0.0
2020-04-16,44.972345773482985,44.972345773482985,43.632232006791405,44.26994323730469,9100,0.0,0.0,0.0
2020-04-17,45.51763732468402,46.08140964041637,45.360522299305075,45.859596252441406,22200,0.0,0.0,0.0
2020-04-20,44.78750771100998,45.3143105630429,44.42706402547212,44.556453704833984,13200,0.0,0.0,0.0
2020-04-21,44.00192642211914,44.4178243470701,43.780113020277156,44.00192642211914,8400,0.0,0.0,0.0
2020-04-22,44.380854761381926,44.907657623291016,44.380854761381926,44.907657623291016,4700,0.0,0.0,0.0
2020-04-23,44.95386505126953,45.53612211034826,44.66736035163723,44.95386505126953,8400,0.0,0.0,0.0
2020-04-24,44.87068257024593,45.4529395916783,44.3716051233039,45.36051940917969,18900,0.0,0.0,0.0
2020-04-27,46.201557760901544,46.73760118867139,45.96125963504282,46.608211517333984,26800,0.0,0.0,0.0
2020-04-28,47.735760102692176,48.60452191519585,47.70803122394965,48.364227294921875,11300,0.0,0.0,0.0
2020-04-29,49.26995498991565,50.29583176260389,49.26995498991565,49.98160171508789,9300,0.0,0.0,0.0
