Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02,42.847954953006145,42.847954953006145,40.92739926099751,41.256385803222656,2653500,0.0,0.0
2020-01-03,41.229708801343975,41.97659175329654,40.87405235249547,40.971858978271484,2349600,0.0,0.0
2020-01-06,40.67844735021177,41.09634723897477,40.029370892407634,40.900733947753906,2283300,0.0,0.0
2020-01-07,40.66066408258666,41.27417387176013,40.50951082408387,40.52729415893555,1944500,0.0,0.0
2020-01-08,40.34057647497941,40.83849974491944,40.02937655115738,40.714019775390625,2121500,0.0,0.0
2020-01-09,40.847389171062495,40.865172508160754,39.82487272659841,40.51840591430664,1762600,0.0,0.0
2020-01-10,40.45615956869126,40.69622949402987,39.69149315283292,39.80708312988281,2206800,0.0,0.0
2020-01-13,39.93156297228389,40.40280945864847,39.56701309962325,40.31389617919922,1500900,0.0,0.0
2020-01-14,40.20720226825917,40.90073539169098,40.20720226825917,40.38502883911133,1259800,0.0,0.0
2020-01-15,40.2961034563277,40.96296307229759,40.278320126216364,40.58952331542969,1268200,0.0,0.0
2020-01-16,40.438375245153864,40.84738174861826,40.091608714311256,40.80292510986328,1273500,0.0,0.0
2020-01-17,40.86516472266053,41.19415130856366,40.43837488908727,41.025211334228516,2871600,0.0,0.0
2020-01-21,40.77625274961277,40.77625274961277,39.309159893942414,39.3447265625,2183200,0.0,0.0
2020-01-22,39.131330591693946,39.40696718984838,37.273014526555805,37.975440979003906,5417700,0.0,0.0
2020-01-23,37.370815542567634,37.94876195778317,36.71284922155867,37.78871536254883,2973400,0.0,0.0
2020-01-24,37.7709295086142,37.77982286987992,36.374970270366305,36.39275360107422,2503800,0.0,0.0
2020-01-27,35.49471346570127,35.78813332977218,34.97012048173836,35.050140380859375,2633800,0.0,0.0
2020-01-28,35.33467672130591,35.70811655261987,34.89899352628221,35.52139663696289,2371600,0.0,0.0
2020-01-29,35.70811682197764,36.312736603562676,35.63698687863923,35.80592346191406,1912900,0.0,0.0
2020-01-30,35.6014218656527,36.241604952747736,35.47694191515712,36.170475006103516,1964800,0.0,0.0
2020-01-31,35.797028373609535,36.00153500643206,35.61920182792307,35.81481170654297,2050800,0.0,0.0
2020-02-03,35.80591953217393,36.312732618199234,35.04125322222032,35.343563079833984,2850500,0.0,0.0
2020-02-04,35.81480847790558,36.60614806707396,35.63698194824985,36.517234802246094,2297400,0.0,0.0
2020-02-05,37.06851126669578,38.01989761952578,36.74842141984372,37.975440979003906,2784800,0.0,0.0
2020-02-06,38.11770273525972,38.171052736841204,37.49529961743888,37.56643295288086,2801100,0.0,0.0
2020-02-07,37.23745042690635,37.530866961330524,37.077403811102556,37.49530029296875,1679900,0.0,0.0
2020-02-10,37.07740454194754,37.85096093903091,36.84622458486333,37.05072784423828,2085300,0.0,0.0
2020-02-11,37.26412373226559,37.92209352966166,37.121860450642686,37.49530029296875,1929600,0.0,0.0
2020-02-12,37.521979641698685,37.57532625618698,36.73063986976104,36.99738311767578,2376300,0.0,0.0
2020-02-13,36.988429807329716,37.08694675478528,35.089751038995324,35.23304748535156,4897000,0.3,0.0
2020-02-14,34.140400156327836,35.8599604359498,34.0329287064939,34.30160903930664,5653800,0.0,0.0
2020-02-18,34.04188188558223,34.444904077028326,33.656775587595575,34.17622375488281,5994100,0.0,0.0
2020-02-19,34.176230107535645,35.85996567785107,34.176230107535645,35.26886749267578,3313100,0.0,0.0
