Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-01-02,119.75312179912181,120.19738015028679,117.42321715421558,118.36109924316406,2844400,0.0,0.0,0.0
2020-01-03,116.69266085638151,117.62067599116381,116.26814409601315,116.85062408447266,5480900,0.0,0.0,0.0
2020-01-06,116.18918759518279,117.66018460188377,115.45861885286747,117.6009521484375,2199100,0.0,0.0,0.0
2020-01-07,117.64042878430394,118.11430341897118,116.4557271334328,117.63055419921875,1718400,0.0,0.0,0.0
2020-01-08,117.55156868730269,119.33848439132727,117.34424759999332,118.68690490722656,3388200,0.0,0.0,0.0
2020-01-09,119.26938206576288,120.0789248095111,118.99295393844909,119.49645233154297,1979400,0.0,0.0,0.0
2020-01-10,119.65439897372858,120.3553513561892,118.84485629127511,118.9139633178711,2498500,0.0,0.0,0.0
2020-01-13,119.04231640817275,119.04231640817275,116.57419742906202,117.64042663574219,3960100,0.0,0.0,0.0
2020-01-14,117.5318092094631,120.06903479583406,116.87034770890794,119.56553649902344,3855900,0.0,0.0,0.0
2020-01-15,119.55567965973076,121.0168093828223,119.46683099351299,120.17765045166016,4309800,0.0,0.0,0.0
2020-01-16,121.02666354076192,121.3919478156412,120.00979985340386,120.78972625732422,1908000,0.0,0.0,0.0
2020-01-17,121.19451756012417,121.27349164377603,119.92096725148244,120.33560943603516,1907100,0.0,0.0,0.0
2020-01-21,120.14802512491234,120.3750953779989,119.00282187118756,119.18052673339844,2795100,0.0,0.0,0.0
2020-01-22,119.45695798443124,120.12828664463608,118.79550390908128,118.92384338378906,1395400,0.0,0.0,0.0
2020-01-23,118.62767651600366,118.71652518555709,116.94935105856855,117.97608947753906,3413300,0.0,0.0,0.0
2020-01-24,118.32160675666871,118.46969538231669,114.78725903672552,115.38948059082031,4309700,0.0,0.0,0.0
2020-01-27,113.53346950884021,115.2808943775909,113.07933653465699,114.60956573486328,2580300,0.0,0.0,0.0
2020-01-28,115.53759558240212,116.33726379844668,115.05384632485313,115.82389831542969,2347300,0.0,0.0,0.0
2020-01-29,116.24838661144054,116.47545683784178,115.66591423448561,115.74488830566406,1585400,0.0,0.0,0.0
2020-01-30,114.99459682435838,115.34013195709154,113.27678068088332,114.06658172607422,4027100,0.0,0.0,0.0
