Date,CF,CTVA,DOW,IYM,MOS,UAN,VAW
2020-01-02,46.400001525878906,28.739999771118164,53.75,96.97000122070312,21.43000030517578,30.600000381469727,132.75
2020-01-03,46.08000183105469,28.399999618530273,52.41999816894531,95.22000122070312,20.760000228881836,29.899999618530273,130.69000244140625
2020-01-06,46.0,28.360000610351562,52.209999084472656,94.80999755859375,20.760000228881836,30.600000381469727,130.0500030517578
2020-01-07,45.58000183105469,28.469999313354492,52.189998626708984,94.83999633789062,20.920000076293945,30.200000762939453,129.9499969482422
2020-01-08,45.790000915527344,28.700000762939453,52.72999954223633,94.94999694824219,21.110000610351562,30.700000762939453,130.3000030517578
2020-01-09,45.56999969482422,28.729999542236328,52.189998626708984,95.06999969482422,21.100000381469727,29.799999237060547,130.3800048828125
2020-01-10,44.77000045776367,28.350000381469727,51.5,94.51000213623047,20.6200008392334,29.799999237060547,129.88999938964844
2020-01-13,45.34000015258789,28.579999923706055,52.349998474121094,95.8499984741211,21.049999237060547,30.100000381469727,131.5800018310547
2020-01-14,45.41999816894531,28.639999389648438,52.2400016784668,95.86000061035156,21.34000015258789,29.700000762939453,131.41000366210938
2020-01-15,45.650001525878906,28.68000030517578,52.27000045776367,96.25,21.520000457763672,30.100000381469727,132.24000549316406
2020-01-16,45.88999938964844,29.219999313354492,52.47999954223633,96.62000274658203,22.020000457763672,29.600000381469727,132.8699951171875
2020-01-17,46.13999938964844,28.299999237060547,53.34000015258789,96.8499984741211,21.8700008392334,29.600000381469727,133.25
2020-01-21,44.25,27.81999969482422,52.599998474121094,95.76000213623047,21.149999618530273,28.799999237060547,131.77000427246094
2020-01-22,42.709999084472656,28.15999984741211,50.869998931884766,95.0999984741211,20.030000686645508,27.600000381469727,131.2100067138672
2020-01-23,42.5,28.450000762939453,50.25,94.81999969482422,19.950000762939453,27.899999618530273,131.0399932861328
2020-01-24,40.93000030517578,27.950000762939453,48.4900016784668,94.1500015258789,19.139999389648438,27.700000762939453,129.88999938964844
2020-01-27,39.41999816894531,27.15999984741211,47.18000030517578,91.77999877929688,18.559999465942383,27.0,127.4800033569336
2020-01-28,39.95000076293945,27.559999465942383,47.15999984741211,92.62999725341797,19.350000381469727,26.399999618530273,128.52000427246094
2020-01-29,40.27000045776367,27.799999237060547,49.66999816894531,92.98999786376953,19.309999465942383,26.899999618530273,128.75999450683594
2020-01-30,40.68000030517578,29.239999771118164,48.470001220703125,92.7300033569336,20.170000076293945,27.600000381469727,128.3000030517578
2020-01-31,40.279998779296875,28.920000076293945,46.06999969482422,90.62999725341797,19.84000015258789,26.399999618530273,125.4000015258789
2020-02-03,39.75,30.1200008392334,46.7400016784668,92.31999969482422,19.959999084472656,26.600000381469727,127.77999877929688
2020-02-04,41.06999969482422,30.950000762939453,48.04999923706055,94.02999877929688,20.81999969482422,26.5,129.97000122070312
2020-02-05,42.709999084472656,31.709999084472656,49.61000061035156,95.76000213623047,21.360000610351562,26.700000762939453,132.50999450683594
2020-02-06,42.25,31.59000015258789,49.20000076293945,95.52999877929688,20.8700008392334,26.299999237060547,132.1199951171875
2020-02-07,42.16999816894531,31.040000915527344,48.029998779296875,94.12000274658203,20.25,26.5,130.2100067138672
2020-02-10,41.66999816894531,30.600000381469727,48.189998626708984,94.01000213623047,19.829999923706055,25.299999237060547,130.19000244140625
2020-02-11,42.16999816894531,30.510000228881836,48.790000915527344,94.72000122070312,20.1299991607666,26.899999618530273,130.99000549316406
2020-02-12,41.61000061035156,30.940000534057617,49.380001068115234,95.41999816894531,20.350000381469727,27.200000762939453,131.58999633789062
2020-02-13,39.34000015258789,30.600000381469727,48.29999923706055,95.2699966430664,19.479999542236328,27.100000381469727,131.30999755859375
2020-02-14,38.29999923706055,30.709999084472656,48.630001068115234,95.18000030517578,18.75,27.200000762939453,131.17999267578125
2020-02-18,38.15999984741211,31.399999618530273,47.7400016784668,95.05999755859375,18.25,27.0,130.89999389648438
2020-02-19,39.380001068115234,31.520000457763672,47.560001373291016,95.5199966430664,18.40999984741211,25.399999618530273,131.1699981689453
2020-02-20,39.47999954223633,31.56999969482422,48.7599983215332,95.79000091552734,18.469999313354492,26.5,131.4199981689453
2020-02-21,39.349998474121094,31.219999313354492,48.29999923706055,95.44000244140625,19.190000534057617,25.700000762939453,130.6999969482422
2020-02-24,38.83000183105469,30.65999984741211,46.2400016784668,92.6500015258789,19.40999984741211,24.299999237060547,126.95999908447266
2020-02-25,37.63999938964844,28.3799991607666,43.95000076293945,88.47000122070312,18.100000381469727,22.399999618530273,121.5199966430664
2020-02-26,37.060001373291016,28.5,43.04999923706055,88.0199966430664,17.450000762939453,21.5,120.81999969482422
2020-02-27,36.130001068115234,27.290000915527344,39.54999923706055,83.88999938964844,16.549999237060547,19.799999237060547,115.44000244140625
2020-02-28,36.86000061035156,27.200000762939453,40.40999984741211,82.94000244140625,17.030000686645508,19.0,114.08999633789062
2020-03-02,38.220001220703125,28.239999771118164,41.41999816894531,85.98999786376953,17.65999984741211,19.799999237060547,118.62999725341797
2020-03-03,38.13999938964844,27.920000076293945,40.560001373291016,85.2300033569336,17.010000228881836,19.600000381469727,117.51000213623047
2020-03-04,38.75,28.899999618530273,41.90999984741211,88.41999816894531,17.09000015258789,18.399999618530273,122.08999633789062
2020-03-05,37.9900016784668,27.309999465942383,40.099998474121094,85.7300033569336,16.190000534057617,17.5,117.98999786376953
2020-03-06,36.84000015258789,25.299999237060547,38.970001220703125,83.16999816894531,14.300000190734863,16.799999237060547,115.1500015258789
