Date,CUT,ERTH,IBB,WOOD
2020-01-02,28.899999618530273,50.18000030517578,119.88999938964844,66.81999969482422
2020-01-03,28.459999084472656,49.90999984741211,118.36000061035156,66.2699966430664
2020-01-06,28.350000381469727,49.709999084472656,119.12000274658203,66.1500015258789
2020-01-07,28.18000030517578,49.68000030517578,119.1500015258789,66.12000274658203
2020-01-08,28.229999542236328,49.91999816894531,120.22000122070312,66.12000274658203
2020-01-09,28.260000228881836,49.91999816894531,121.04000091552734,66.06999969482422
2020-01-10,28.25,49.77000045776367,120.44999694824219,65.88999938964844
2020-01-13,28.469999313354492,50.560001373291016,119.16000366210938,66.5
2020-01-14,28.350000381469727,50.63999938964844,121.11000061035156,66.22000122070312
2020-01-15,28.270000457763672,50.86000061035156,121.7300033569336,65.77999877929688
2020-01-16,28.479999542236328,51.15999984741211,122.3499984741211,66.18000030517578
2020-01-17,28.540000915527344,51.459999084472656,121.88999938964844,66.44000244140625
2020-01-21,28.149999618530273,51.33000183105469,120.72000122070312,65.75
2020-01-22,28.270000457763672,51.06999969482422,120.45999908447266,66.16000366210938
2020-01-23,28.18000030517578,51.310001373291016,119.5,65.9000015258789
2020-01-24,27.850000381469727,51.2400016784668,116.87999725341797,65.2300033569336
2020-01-27,27.290000915527344,50.119998931884766,116.08999633789062,63.220001220703125
2020-01-28,27.459999084472656,50.54999923706055,117.31999969482422,64.0
2020-01-29,27.6299991607666,50.599998474121094,117.23999786376953,63.66999816894531
2020-01-30,27.540000915527344,50.349998474121094,115.54000091552734,63.689998626708984
2020-01-31,26.860000610351562,49.56999969482422,113.80999755859375,62.45000076293945
2020-02-03,27.0,49.849998474121094,115.81999969482422,62.540000915527344
2020-02-04,27.399999618530273,51.20000076293945,118.55000305175781,63.40999984741211
2020-02-05,28.18000030517578,51.7599983215332,121.55999755859375,65.04000091552734
2020-02-06,28.040000915527344,51.369998931884766,122.47000122070312,64.31999969482422
2020-02-07,27.520000457763672,50.650001525878906,121.52999877929688,63.220001220703125
2020-02-10,27.59000015258789,51.0,122.7300033569336,63.369998931884766
2020-02-11,27.959999084472656,51.7599983215332,122.66999816894531,64.44000244140625
2020-02-12,28.170000076293945,52.22999954223633,122.94000244140625,65.61000061035156
2020-02-13,27.84000015258789,52.029998779296875,121.94999694824219,65.41000366210938
2020-02-14,27.780000686645508,51.880001068115234,122.47000122070312,65.0999984741211
2020-02-18,27.420000076293945,51.5099983215332,122.5199966430664,64.12999725341797
2020-02-19,27.510000228881836,52.220001220703125,123.4800033569336,64.37999725341797
2020-02-20,27.780000686645508,52.90999984741211,123.30999755859375,65.08000183105469
2020-02-21,27.75,52.08000183105469,123.08000183105469,65.08000183105469
2020-02-24,26.600000381469727,50.540000915527344,119.83999633789062,62.25
2020-02-25,25.709999084472656,48.83000183105469,116.80000305175781,60.27000045776367
2020-02-26,25.690000534057617,48.72999954223633,118.36000061035156,60.2599983215332
2020-02-27,24.829999923706055,47.18000030517578,113.43000030517578,57.959999084472656
2020-02-28,24.639999389648438,47.13999938964844,113.87999725341797,57.43000030517578
2020-03-02,25.3700008392334,47.93000030517578,119.41999816894531,58.959999084472656
2020-03-03,25.079999923706055,47.380001068115234,116.2300033569336,58.40999984741211
2020-03-04,25.8700008392334,49.13999938964844,121.68000030517578,60.619998931884766
2020-03-05,24.950000762939453,47.599998474121094,119.55999755859375,58.439998626708984
2020-03-06,24.6299991607666,46.529998779296875,118.02999877929688,57.22999954223633
2020-03-09,22.850000381469727,42.380001068115234,110.0,52.220001220703125
2020-03-10,23.75,43.959999084472656,112.30999755859375,54.400001525878906
2020-03-11,22.09000015258789,41.27000045776367,106.97000122070312,50.31999969482422
2020-03-12,19.59000015258789,37.08000183105469,97.5,43.81999969482422
2020-03-13,21.18000030517578,38.81999969482422,103.68000030517578,49.09000015258789
2020-03-16,18.729999542236328,34.56999969482422,94.38999938964844,42.43000030517578
2020-03-17,19.940000534057617,36.720001220703125,101.30000305175781,45.5
2020-03-18,18.469999313354492,33.52000045776367,98.33000183105469,40.9900016784668
2020-03-19,19.1200008392334,34.369998931884766,101.05999755859375,43.150001525878906
2020-03-20,18.579999923706055,33.83000183105469,98.04000091552734,41.61000061035156
2020-03-23,17.6200008392334,33.4900016784668,97.5,39.880001068115234
2020-03-24,19.25,36.15999984741211,102.62000274658203,43.849998474121094
2020-03-25,19.799999237060547,37.25,102.0,46.040000915527344
2020-03-26,20.899999618530273,39.27000045776367,106.79000091552734,47.5
2020-03-27,20.219999313354492,37.2400016784668,104.70999908447266,46.18000030517578
2020-03-30,20.889999389648438,37.880001068115234,108.83999633789062,47.56999969482422
2020-03-31,20.920000076293945,37.63999938964844,107.73999786376953,48.119998931884766
2020-04-01,20.1200008392334,35.54999923706055,103.79000091552734,45.20000076293945
2020-04-02,20.399999618530273,36.18000030517578,107.69999694824219,46.119998931884766
2020-04-03,19.6299991607666,35.20000076293945,106.25,44.61000061035156
2020-04-06,21.09000015258789,37.880001068115234,111.70999908447266,47.65999984741211
2020-04-07,21.18000030517578,38.70000076293945,109.54000091552734,47.689998626708984
2020-04-08,22.030000686645508,39.58000183105469,112.94000244140625,49.84000015258789
2020-04-09,22.639999389648438,40.52000045776367,113.97000122070312,51.150001525878906
2020-04-13,22.420000076293945,39.599998474121094,114.48999786376953,50.27000045776367
2020-04-14,22.40999984741211,40.66999816894531,118.6500015258789,50.540000915527344
2020-04-15,21.420000076293945,39.040000915527344,115.69000244140625,48.599998474121094
2020-04-16,21.280000686645508,38.790000915527344,119.08000183105469,47.900001525878906
